row,col,r,c,value,status
"Alt Camp",Població,1,1,44695,
"Alt Camp","Superfície km²",1,2,538,
"Alt Camp","Densitat (habitants/km²)",1,3,83.1,
"Alt Empordà",Població,2,1,142624,
"Alt Empordà","Superfície km²",2,2,1358,
"Alt Empordà","Densitat (habitants/km²)",2,3,105.1,
"Alt Penedès",Població,3,1,109606,
"Alt Penedès","Superfície km²",3,2,593,
"Alt Penedès","Densitat (habitants/km²)",3,3,184.9,
"Alt Urgell",Població,4,1,20231,
"Alt Urgell","Superfície km²",4,2,1447,
"Alt Urgell","Densitat (habitants/km²)",4,3,14,
"Alta Ribagorça",Població,5,1,3825,
"Alta Ribagorça","Superfície km²",5,2,427,
"Alta Ribagorça","Densitat (habitants/km²)",5,3,9,
Anoia,Població,6,1,123024,
Anoia,"Superfície km²",6,2,866,
Anoia,"Densitat (habitants/km²)",6,3,142,
Aran,Població,7,1,10175,
Aran,"Superfície km²",7,2,634,
Aran,"Densitat (habitants/km²)",7,3,16.1,
Bages,Població,8,1,180575,
Bages,"Superfície km²",8,2,1092,
Bages,"Densitat (habitants/km²)",8,3,165.3,
"Baix Camp",Població,9,1,194127,
"Baix Camp","Superfície km²",9,2,697,
"Baix Camp","Densitat (habitants/km²)",9,3,278.5,
"Baix Ebre",Població,10,1,78011,
"Baix Ebre","Superfície km²",10,2,1003,
"Baix Ebre","Densitat (habitants/km²)",10,3,77.8,
"Baix Empordà",Població,11,1,135805,
"Baix Empordà","Superfície km²",11,2,702,
"Baix Empordà","Densitat (habitants/km²)",11,3,193.5,
"Baix Llobregat",Població,12,1,834653,
"Baix Llobregat","Superfície km²",12,2,486,
"Baix Llobregat","Densitat (habitants/km²)",12,3,1717.4,
"Baix Penedès",Població,13,1,107803,
"Baix Penedès","Superfície km²",13,2,296,
"Baix Penedès","Densitat (habitants/km²)",13,3,363.7,
Barcelonès,Població,14,1,2314620,
Barcelonès,"Superfície km²",14,2,146,
Barcelonès,"Densitat (habitants/km²)",14,3,15880.8,
Berguedà,Població,15,1,39980,
Berguedà,"Superfície km²",15,2,1185,
Berguedà,"Densitat (habitants/km²)",15,3,33.7,
Cerdanya,Població,16,1,18525,
Cerdanya,"Superfície km²",16,2,547,
Cerdanya,"Densitat (habitants/km²)",16,3,33.9,
"Conca de Barberà",Població,17,1,19947,
"Conca de Barberà","Superfície km²",17,2,650,
"Conca de Barberà","Densitat (habitants/km²)",17,3,30.7,
Garraf,Població,18,1,152801,
Garraf,"Superfície km²",18,2,185,
Garraf,"Densitat (habitants/km²)",18,3,825.5,
Garrigues,Població,19,1,18873,
Garrigues,"Superfície km²",19,2,798,
Garrigues,"Densitat (habitants/km²)",19,3,23.7,
Garrotxa,Població,20,1,58620,
Garrotxa,"Superfície km²",20,2,735,
Garrotxa,"Densitat (habitants/km²)",20,3,79.8,
Gironès,Població,21,1,197104,
Gironès,"Superfície km²",21,2,576,
Gironès,"Densitat (habitants/km²)",21,3,342.4,
Lluçanès,Població,22,1,,..
Lluçanès,"Superfície km²",22,2,,..
Lluçanès,"Densitat (habitants/km²)",22,3,,..
Maresme,Població,23,1,458626,
Maresme,"Superfície km²",23,2,399,
Maresme,"Densitat (habitants/km²)",23,3,1150.8,
Moianès,Població,24,1,13919,
Moianès,"Superfície km²",24,2,338,
Moianès,"Densitat (habitants/km²)",24,3,41.2,
Montsià,Població,25,1,68263,
Montsià,"Superfície km²",25,2,735,
Montsià,"Densitat (habitants/km²)",25,3,92.8,
Noguera,Població,26,1,39132,
Noguera,"Superfície km²",26,2,1784,
Noguera,"Densitat (habitants/km²)",26,3,21.9,
Osona,Població,27,1,163702,
Osona,"Superfície km²",27,2,1245,
Osona,"Densitat (habitants/km²)",27,3,131.5,
"Pallars Jussà",Població,28,1,13227,
"Pallars Jussà","Superfície km²",28,2,1343,
"Pallars Jussà","Densitat (habitants/km²)",28,3,9.9,
"Pallars Sobirà",Població,29,1,6930,
"Pallars Sobirà","Superfície km²",29,2,1378,
"Pallars Sobirà","Densitat (habitants/km²)",29,3,5,
"Pla d'Urgell",Població,30,1,36737,
"Pla d'Urgell","Superfície km²",30,2,305,
"Pla d'Urgell","Densitat (habitants/km²)",30,3,120.4,
"Pla de l'Estany",Població,31,1,32637,
"Pla de l'Estany","Superfície km²",31,2,263,
"Pla de l'Estany","Densitat (habitants/km²)",31,3,124.2,
Priorat,Població,32,1,9160,
Priorat,"Superfície km²",32,2,499,
Priorat,"Densitat (habitants/km²)",32,3,18.4,
"Ribera d'Ebre",Població,33,1,21870,
"Ribera d'Ebre","Superfície km²",33,2,827,
"Ribera d'Ebre","Densitat (habitants/km²)",33,3,26.4,
Ripollès,Població,34,1,25253,
Ripollès,"Superfície km²",34,2,957,
Ripollès,"Densitat (habitants/km²)",34,3,26.4,
Segarra,Població,35,1,23318,
Segarra,"Superfície km²",35,2,723,
Segarra,"Densitat (habitants/km²)",35,3,32.3,
Segrià,Població,36,1,211840,
Segrià,"Superfície km²",36,2,1397,
Segrià,"Densitat (habitants/km²)",36,3,151.7,
Selva,Població,37,1,174638,
Selva,"Superfície km²",37,2,995,
Selva,"Densitat (habitants/km²)",37,3,175.5,
Solsonès,Població,38,1,13513,
Solsonès,"Superfície km²",38,2,1001,
Solsonès,"Densitat (habitants/km²)",38,3,13.5,
Tarragonès,Població,39,1,261466,
Tarragonès,"Superfície km²",39,2,319,
Tarragonès,"Densitat (habitants/km²)",39,3,818.7,
"Terra Alta",Població,40,1,11430,
"Terra Alta","Superfície km²",40,2,743,
"Terra Alta","Densitat (habitants/km²)",40,3,15.4,
Urgell,Població,41,1,37116,
Urgell,"Superfície km²",41,2,580,
Urgell,"Densitat (habitants/km²)",41,3,64,
"Vallès Occidental",Població,42,1,937508,
"Vallès Occidental","Superfície km²",42,2,583,
"Vallès Occidental","Densitat (habitants/km²)",42,3,1607.7,
"Vallès Oriental",Població,43,1,414570,
"Vallès Oriental","Superfície km²",43,2,735,
"Vallès Oriental","Densitat (habitants/km²)",43,3,564,
Catalunya,Població,44,1,7780479,
Catalunya,"Superfície km²",44,2,32108,
Catalunya,"Densitat (habitants/km²)",44,3,242.3,
Metropolità,Població,45,1,4963975,
Metropolità,"Superfície km²",45,2,2464,
