row,col,r,c,value,status
"Alt Camp",Població,1,1,45540,
"Alt Camp","Superfície km²",1,2,538,
"Alt Camp","Densitat (habitants/km²)",1,3,84.7,
"Alt Empordà",Població,2,1,144926,
"Alt Empordà","Superfície km²",2,2,1358,
"Alt Empordà","Densitat (habitants/km²)",2,3,106.8,
"Alt Penedès",Població,3,1,110929,
"Alt Penedès","Superfície km²",3,2,593,
"Alt Penedès","Densitat (habitants/km²)",3,3,187.2,
"Alt Urgell",Població,4,1,20482,
"Alt Urgell","Superfície km²",4,2,1447,
"Alt Urgell","Densitat (habitants/km²)",4,3,14.2,
"Alta Ribagorça",Població,5,1,3958,
"Alta Ribagorça","Superfície km²",5,2,427,
"Alta Ribagorça","Densitat (habitants/km²)",5,3,9.3,
Anoia,Població,6,1,125065,
Anoia,"Superfície km²",6,2,866,
Anoia,"Densitat (habitants/km²)",6,3,144.4,
Aran,Població,7,1,10268,
Aran,"Superfície km²",7,2,634,
Aran,"Densitat (habitants/km²)",7,3,16.2,
Bages,Població,8,1,180873,
Bages,"Superfície km²",8,2,1092,
Bages,"Densitat (habitants/km²)",8,3,165.6,
"Baix Camp",Població,9,1,197525,
"Baix Camp","Superfície km²",9,2,697,
"Baix Camp","Densitat (habitants/km²)",9,3,283.3,
"Baix Ebre",Població,10,1,79636,
"Baix Ebre","Superfície km²",10,2,1003,
"Baix Ebre","Densitat (habitants/km²)",10,3,79.4,
"Baix Empordà",Població,11,1,138517,
"Baix Empordà","Superfície km²",11,2,702,
"Baix Empordà","Densitat (habitants/km²)",11,3,197.4,
"Baix Llobregat",Població,12,1,833540,
"Baix Llobregat","Superfície km²",12,2,486,
"Baix Llobregat","Densitat (habitants/km²)",12,3,1715.1,
"Baix Penedès",Població,13,1,112460,
"Baix Penedès","Superfície km²",13,2,296,
"Baix Penedès","Densitat (habitants/km²)",13,3,379.4,
Barcelonès,Població,14,1,2280042,
Barcelonès,"Superfície km²",14,2,146,
Barcelonès,"Densitat (habitants/km²)",14,3,15643.5,
Berguedà,Població,15,1,40279,
Berguedà,"Superfície km²",15,2,1185,
Berguedà,"Densitat (habitants/km²)",15,3,34,
Cerdanya,Població,16,1,19443,
Cerdanya,"Superfície km²",16,2,547,
Cerdanya,"Densitat (habitants/km²)",16,3,35.6,
"Conca de Barberà",Població,17,1,20176,
"Conca de Barberà","Superfície km²",17,2,650,
"Conca de Barberà","Densitat (habitants/km²)",17,3,31,
Garraf,Població,18,1,156794,
Garraf,"Superfície km²",18,2,185,
Garraf,"Densitat (habitants/km²)",18,3,847,
Garrigues,Població,19,1,19011,
Garrigues,"Superfície km²",19,2,798,
Garrigues,"Densitat (habitants/km²)",19,3,23.8,
Garrotxa,Població,20,1,59750,
Garrotxa,"Superfície km²",20,2,735,
Garrotxa,"Densitat (habitants/km²)",20,3,81.3,
Gironès,Població,21,1,198582,
Gironès,"Superfície km²",21,2,576,
Gironès,"Densitat (habitants/km²)",21,3,345,
Lluçanès,Població,22,1,,..
Lluçanès,"Superfície km²",22,2,,..
Lluçanès,"Densitat (habitants/km²)",22,3,,..
Maresme,Població,23,1,462213,
Maresme,"Superfície km²",23,2,399,
Maresme,"Densitat (habitants/km²)",23,3,1159.8,
Moianès,Població,24,1,14428,
Moianès,"Superfície km²",24,2,338,
Moianès,"Densitat (habitants/km²)",24,3,42.7,
Montsià,Població,25,1,68744,
Montsià,"Superfície km²",25,2,735,
Montsià,"Densitat (habitants/km²)",25,3,93.5,
Noguera,Població,26,1,39297,
Noguera,"Superfície km²",26,2,1784,
Noguera,"Densitat (habitants/km²)",26,3,22,
Osona,Població,27,1,165229,
Osona,"Superfície km²",27,2,1245,
Osona,"Densitat (habitants/km²)",27,3,132.7,
"Pallars Jussà",Població,28,1,13199,
"Pallars Jussà","Superfície km²",28,2,1343,
"Pallars Jussà","Densitat (habitants/km²)",28,3,9.8,
