row,col,r,c,value,status
"Alt Camp",Població,1,1,44065,
"Alt Camp","Superfície km²",1,2,538,
"Alt Camp","Densitat (habitants/km²)",1,3,81.9,
"Alt Empordà",Població,2,1,140569,
"Alt Empordà","Superfície km²",2,2,1358,
"Alt Empordà","Densitat (habitants/km²)",2,3,103.6,
"Alt Penedès",Població,3,1,108122,
"Alt Penedès","Superfície km²",3,2,593,
"Alt Penedès","Densitat (habitants/km²)",3,3,182.4,
"Alt Urgell",Població,4,1,20224,
"Alt Urgell","Superfície km²",4,2,1447,
"Alt Urgell","Densitat (habitants/km²)",4,3,14,
"Alta Ribagorça",Població,5,1,3774,
"Alta Ribagorça","Superfície km²",5,2,427,
"Alta Ribagorça","Densitat (habitants/km²)",5,3,8.8,
Anoia,Població,6,1,119089,
Anoia,"Superfície km²",6,2,866,
Anoia,"Densitat (habitants/km²)",6,3,137.5,
Aran,Població,7,1,9983,
Aran,"Superfície km²",7,2,634,
Aran,"Densitat (habitants/km²)",7,3,15.8,
Bages,Població,8,1,176485,
Bages,"Superfície km²",8,2,1092,
Bages,"Densitat (habitants/km²)",8,3,161.6,
"Baix Camp",Població,9,1,188841,
"Baix Camp","Superfície km²",9,2,697,
"Baix Camp","Densitat (habitants/km²)",9,3,270.9,
"Baix Ebre",Població,10,1,77868,
"Baix Ebre","Superfície km²",10,2,1003,
"Baix Ebre","Densitat (habitants/km²)",10,3,77.7,
"Baix Empordà",Població,11,1,133461,
"Baix Empordà","Superfície km²",11,2,702,
"Baix Empordà","Densitat (habitants/km²)",11,3,190.2,
"Baix Llobregat",Població,12,1,819168,
"Baix Llobregat","Superfície km²",12,2,486,
"Baix Llobregat","Densitat (habitants/km²)",12,3,1685.6,
"Baix Penedès",Població,13,1,102409,
"Baix Penedès","Superfície km²",13,2,296,
"Baix Penedès","Densitat (habitants/km²)",13,3,345.5,
Barcelonès,Població,14,1,2254642,
Barcelonès,"Superfície km²",14,2,146,
Barcelonès,"Densitat (habitants/km²)",14,3,15469.2,
Berguedà,Població,15,1,39104,
Berguedà,"Superfície km²",15,2,1185,
Berguedà,"Densitat (habitants/km²)",15,3,33,
Cerdanya,Població,16,1,17882,
Cerdanya,"Superfície km²",16,2,547,
Cerdanya,"Densitat (habitants/km²)",16,3,32.7,
"Conca de Barberà",Població,17,1,20103,
"Conca de Barberà","Superfície km²",17,2,650,
"Conca de Barberà","Densitat (habitants/km²)",17,3,30.9,
Garraf,Població,18,1,149103,
Garraf,"Superfície km²",18,2,185,
Garraf,"Densitat (habitants/km²)",18,3,805.5,
Garrigues,Població,19,1,18771,
Garrigues,"Superfície km²",19,2,798,
Garrigues,"Densitat (habitants/km²)",19,3,23.5,
Garrotxa,Població,20,1,56613,
Garrotxa,"Superfície km²",20,2,735,
Garrotxa,"Densitat (habitants/km²)",20,3,77.1,
Gironès,Població,21,1,190786,
Gironès,"Superfície km²",21,2,576,
Gironès,"Densitat (habitants/km²)",21,3,331.5,
Lluçanès,Població,22,1,,..
Lluçanès,"Superfície km²",22,2,,..
Lluçanès,"Densitat (habitants/km²)",22,3,,..
Maresme,Població,23,1,447824,
Maresme,"Superfície km²",23,2,399,
Maresme,"Densitat (habitants/km²)",23,3,1123.7,
Moianès,Població,24,1,13432,
Moianès,"Superfície km²",24,2,338,
Moianès,"Densitat (habitants/km²)",24,3,39.8,
Montsià,Població,25,1,67083,
Montsià,"Superfície km²",25,2,735,
Montsià,"Densitat (habitants/km²)",25,3,91.2,
Noguera,Població,26,1,38708,
Noguera,"Superfície km²",26,2,1784,
Noguera,"Densitat (habitants/km²)",26,3,21.7,
Osona,Població,27,1,158334,
Osona,"Superfície km²",27,2,1245,
Osona,"Densitat (habitants/km²)",27,3,127.2,
"Pallars Jussà",Població,28,1,13091,
"Pallars Jussà","Superfície km²",28,2,1343,
"Pallars Jussà","Densitat (habitants/km²)",28,3,9.8,
"Pallars Sobirà",Població,29,1,6934,
"Pallars Sobirà","Superfície km²",29,2,1378,
"Pallars Sobirà","Densitat (habitants/km²)",29,3,5,
"Pla d'Urgell",Població,30,1,36740,
"Pla d'Urgell","Superfície km²",30,2,305,
"Pla d'Urgell","Densitat (habitants/km²)",30,3,120.4,
"Pla de l'Estany",Població,31,1,32006,
"Pla de l'Estany","Superfície km²",31,2,263,
"Pla de l'Estany","Densitat (habitants/km²)",31,3,121.8,
Priorat,Població,32,1,9296,
Priorat,"Superfície km²",32,2,499,
Priorat,"Densitat (habitants/km²)",32,3,18.6,
"Ribera d'Ebre",Població,33,1,21964,
"Ribera d'Ebre","Superfície km²",33,2,827,
"Ribera d'Ebre","Densitat (habitants/km²)",33,3,26.6,
Ripollès,Població,34,1,25000,
Ripollès,"Superfície km²",34,2,957,
Ripollès,"Densitat (habitants/km²)",34,3,26.1,
Segarra,Població,35,1,22822,
Segarra,"Superfície km²",35,2,723,
Segarra,"Densitat (habitants/km²)",35,3,31.6,
Segrià,Població,36,1,208638,
Segrià,"Superfície km²",36,2,1397,
Segrià,"Densitat (habitants/km²)",36,3,149.4,
Selva,Població,37,1,169029,
Selva,"Superfície km²",37,2,995,
Selva,"Densitat (habitants/km²)",37,3,169.9,
Solsonès,Població,38,1,13392,
Solsonès,"Superfície km²",38,2,1001,
Solsonès,"Densitat (habitants/km²)",38,3,13.4,
Tarragonès,Població,39,1,252790,
Tarragonès,"Superfície km²",39,2,319,
Tarragonès,"Densitat (habitants/km²)",39,3,791.5,
"Terra Alta",Població,40,1,11483,
"Terra Alta","Superfície km²",40,2,743,
"Terra Alta","Densitat (habitants/km²)",40,3,15.5,
Urgell,Població,41,1,36243,
Urgell,"Superfície km²",41,2,580,
Urgell,"Densitat (habitants/km²)",41,3,62.5,
"Vallès Occidental",Població,42,1,917905,
"Vallès Occidental","Superfície km²",42,2,583,
