row,col,r,c,value,status
"Alt Camp",Població,1,1,45045,
"Alt Camp","Superfície km²",1,2,538,
"Alt Camp","Densitat (habitants/km²)",1,3,83.7,
"Alt Empordà",Població,2,1,143762,
"Alt Empordà","Superfície km²",2,2,1358,
"Alt Empordà","Densitat (habitants/km²)",2,3,105.9,
"Alt Penedès",Població,3,1,110172,
"Alt Penedès","Superfície km²",3,2,593,
"Alt Penedès","Densitat (habitants/km²)",3,3,185.9,
"Alt Urgell",Població,4,1,20453,
"Alt Urgell","Superfície km²",4,2,1447,
"Alt Urgell","Densitat (habitants/km²)",4,3,14.1,
"Alta Ribagorça",Població,5,1,3945,
"Alta Ribagorça","Superfície km²",5,2,427,
"Alta Ribagorça","Densitat (habitants/km²)",5,3,9.2,
Anoia,Població,6,1,124112,
Anoia,"Superfície km²",6,2,866,
Anoia,"Densitat (habitants/km²)",6,3,143.3,
Aran,Població,7,1,10372,
Aran,"Superfície km²",7,2,634,
Aran,"Densitat (habitants/km²)",7,3,16.4,
Bages,Població,8,1,180962,
Bages,"Superfície km²",8,2,1092,
Bages,"Densitat (habitants/km²)",8,3,165.7,
"Baix Camp",Població,9,1,195098,
"Baix Camp","Superfície km²",9,2,697,
"Baix Camp","Densitat (habitants/km²)",9,3,279.9,
"Baix Ebre",Població,10,1,78721,
"Baix Ebre","Superfície km²",10,2,1003,
"Baix Ebre","Densitat (habitants/km²)",10,3,78.5,
"Baix Empordà",Població,11,1,137268,
"Baix Empordà","Superfície km²",11,2,702,
"Baix Empordà","Densitat (habitants/km²)",11,3,195.6,
"Baix Llobregat",Població,12,1,833312,
"Baix Llobregat","Superfície km²",12,2,486,
"Baix Llobregat","Densitat (habitants/km²)",12,3,1714.7,
"Baix Penedès",Població,13,1,110439,
"Baix Penedès","Superfície km²",13,2,296,
"Baix Penedès","Densitat (habitants/km²)",13,3,372.5,
Barcelonès,Població,14,1,2280967,
Barcelonès,"Superfície km²",14,2,146,
